Generated by WizTree 4.27 10/15/2025 8:29:33 PM (You can hide this message by making a donation)
Extension,File Type,Percent,Size,Allocated,Files
".pack","PACK File",35.083,93801506,93802496,1
".sample","SAMPLE File",22.167,58620479,59269120,306
".mp3str","MP3STR File",12.528,33468774,33497088,10
".wav","Wave Sound",11.131,29446226,29761536,147
".mp3","iTunes.mp3",6.255,16716251,16723968,4
".tscn","TSCN File",3.726,8989234,9961472,506
".oggstr","OGGSTR File",2.261,6029822,6045696,10
".stex","STEX File",1.393,3039162,3723264,1439
".ogg","OGG File",1.131,3013442,3022848,5
".import","IMPORT File",1.121,602789,2998272,888
".png","PNG File",1.042,2475643,2785280,640
".ttf","TrueType font file",0.780,2049484,2084864,15
".gd","GD File",0.619,1111359,1654784,318
"","(No Extension)",0.205,546737,548864,13
".svg","Microsoft Edge HTML Document",0.152,283543,405504,80
".tres","TRES File",0.109,280522,290816,46
".ico","ICO File",0.078,204862,208896,1
".md","MD File",0.063,113317,167936,41
".idx","IDX File",0.052,137628,139264,1
".json","JSON File",0.040,36172,106496,41
".translation","TRANSLATION File",0.015,34512,40960,5
".txt","Text Document",0.012,27856,32768,5
".godot","GODOT File",0.011,26276,28672,1
".rev","RAR recovery volume",0.008,19560,20480,1
".csv","CSV File",0.006,14628,16384,1
".icns","ICNS File",0.003,6246,8192,1
".cs","CS File",0.003,4736,8192,2
".shader","SHADER File",0.003,4476,8192,3
".cfg","CFG File",0.002,2727,4096,9
".aseprite","Aseprite Sprite",0.002,2698,4096,1
".pxo","PXO File",0.002,2463,4096,3
".md5","MD5 File",0.000,162151,0,1753
".gitignore","txtfile",0.000,284,0,2
".material","MATERIAL File",0.000,253,0,1
".tmp","TMP File",0.000,206,0,1
".depren","DEPREN File",0.000,157,0,1
".gitattributes","txtfile",0.000,68,0,1
".gdignore","GDIGNORE File",0.000,3,0,2
